Year,TotalFireArea,MaxTemp,Precipitation
1990,30,41.94,416.96
1991,29,40.66,454.63
1992,27,40.4,441.87
1993,27,40.33,481.33
1994,28,41.9,324.44
1995,29,39.99,510.74
1996,36,40.78,436.2
1997,38,40.28,510.41
1998,39,41.18,538.96
1999,43,40.15,523.76
2000,46,39.43,656.64
2001,46,41.26,501.3
2002,41,41.03,296.07
2003,42,41.38,437.61
2004,45,40.75,447.18
2005,48,41.48,355.3
2006,50,41.5,430.95
2007,51,40.43,470.16
2008,47,40.26,429.6
2009,50,41.18,416.71
2010,55,40.59,623.91
2011,52,40.79,652.33
2012,55,40.95,432.8
2013,50,43.01,391.58
2014,55,42.55,446.66
2015,60,40.41,411.82
2016,55,40.38,484.18
2017,58,40.81,441.13
2018,48,42.3,366.73
2019,52,43.43,241.99
2020,47,42.02,468.47
