Year,AreaMillionHectares
1927,0.02
1931,0.02
1932,0.02
1939,3.38
1940,0.13
1941,0.15
1942,0.04
1944,0.01
1945,0.02
1948,0.02
1949,0.07
1951,0.10
1952,0.28
1953,0.10
1954,0.13
1956,0.05
1957,0.08
1958,0.78
1959,0.13
1960,0.04
1961,0.12
1962,0.07
1963,0.02
1964,0.09
1965,0.64
1967,0.33
1968,0.34
1969,0.04
1970,0.04
1971,0.04
1972,4.09
1973,0.13
1974,1.48
1975,0.18
1976,0.11
1977,1.33
1978,0.31
1979,0.12
1980,6.56
1981,0.43
1982,0.14
1983,0.95
1984,0.06
1985,3.74
1986,0.17
1987,0.17
1988,0.44
1989,0.23
1990,0.47
1991,0.99
1992,0.17
1993,0.01
1994,0.72
1995,0.15
1996,0.11
1997,0.13
1998,0.20
1999,1.08
2000,1.48
2001,1.32
2002,6.16
2003,7.08
2004,1.78
2005,1.22
2006,3.87
2007,2.76
2008,0.83
2009,5.17
2010,0.79
2011,10.19
2012,14.40
2013,3.53
2014,4.62
2015,2.29
2016,3.42
2017,3.90
2018,4.19
2019,12.77
2020,2.99
2021,3.01
2022,2.54
2023,0.79
