Year,State,AreaHectares,AreaMillionHectares
1939,ACT (Australian Capital Territory),44325,0.0443
1979,ACT (Australian Capital Territory),16192,0.0162
1983,ACT (Australian Capital Territory),33923,0.0339
1985,ACT (Australian Capital Territory),18840,0.0188
2003,ACT (Australian Capital Territory),263102,0.2631
2020,ACT (Australian Capital Territory),87926,0.0879
1957,NSW (New South Wales),22313,0.0223
1965,NSW (New South Wales),50549,0.0505
1968,NSW (New South Wales),98823,0.0988
1974,NSW (New South Wales),1468740,1.4687
1977,NSW (New South Wales),103534,0.1035
1979,NSW (New South Wales),16260,0.0163
1985,NSW (New South Wales),18360,0.0184
1986,NSW (New South Wales),10086,0.0101
1987,NSW (New South Wales),91242,0.0912
1990,NSW (New South Wales),192222,0.1922
1994,NSW (New South Wales),84013,0.084
1997,NSW (New South Wales),61367,0.0614
1999,NSW (New South Wales),16231,0.0162
2000,NSW (New South Wales),114706,0.1147
2001,NSW (New South Wales),176390,0.1764
2002,NSW (New South Wales),644153,0.6442
2003,NSW (New South Wales),821316,0.8213
2006,NSW (New South Wales),174908,0.1749
2007,NSW (New South Wales),177668,0.1777
2009,NSW (New South Wales),92866,0.0929
2012,NSW (New South Wales),70475,0.0705
2013,NSW (New South Wales),313477,0.3135
2014,NSW (New South Wales),38984,0.039
2017,NSW (New South Wales),81851,0.0819
2018,NSW (New South Wales),111034,0.111
2019,NSW (New South Wales),4965844,4.9658
2020,NSW (New South Wales),223064,0.2231
2023,NSW (New South Wales),17968,0.018
1940,QLD (Queensland),125768,0.1258
1948,QLD (Queensland),20731,0.0207
1951,QLD (Queensland),71802,0.0718
1952,QLD (Queensland),33294,0.0333
1956,QLD (Queensland),46010,0.046
1957,QLD (Queensland),57555,0.0576
1958,QLD (Queensland),20793,0.0208
1963,QLD (Queensland),16561,0.0166
1964,QLD (Queensland),11638,0.0116
1965,QLD (Queensland),39335,0.0393
1967,QLD (Queensland),119468,0.1195
1968,QLD (Queensland),148112,0.1481
1971,QLD (Queensland),39628,0.0396
1972,QLD (Queensland),10501,0.0105
1975,QLD (Queensland),14069,0.0141
1976,QLD (Queensland),50895,0.0509
1978,QLD (Queensland),83282,0.0833
1980,QLD (Queensland),18962,0.019
1982,QLD (Queensland),33362,0.0334
1983,QLD (Queensland),25887,0.0259
1985,QLD (Queensland),27569,0.0276
1986,QLD (Queensland),47928,0.0479
1987,QLD (Queensland),59644,0.0596
1988,QLD (Queensland),19831,0.0198
1990,QLD (Queensland),60908,0.0609
1991,QLD (Queensland),23842,0.0238
1992,QLD (Queensland),109617,0.1096
1994,QLD (Queensland),59793,0.0598
1996,QLD (Queensland),61043,0.061
1998,QLD (Queensland),34966,0.035
1999,QLD (Queensland),887861,0.8879
2000,QLD (Queensland),632574,0.6326
2001,QLD (Queensland),1067336,1.0673
2002,QLD (Queensland),1374410,1.3744
2003,QLD (Queensland),1431265,1.4313
2004,QLD (Queensland),1599338,1.5993
2005,QLD (Queensland),897033,0.897
2006,QLD (Queensland),1995089,1.9951
2007,QLD (Queensland),911180,0.9112
2008,QLD (Queensland),690692,0.6907
2009,QLD (Queensland),3754493,3.7545
2010,QLD (Queensland),65086,0.0651
2011,QLD (Queensland),3995101,3.9951
2012,QLD (Queensland),4751647,4.7516
2013,QLD (Queensland),826842,0.8268
2014,QLD (Queensland),2347053,2.3471
2015,QLD (Queensland),458553,0.4586
2016,QLD (Queensland),2308349,2.3083
2017,QLD (Queensland),1649206,1.6492
2018,QLD (Queensland),2356152,2.3562
2019,QLD (Queensland),2756631,2.7566
2020,QLD (Queensland),1255128,1.2551
2021,QLD (Queensland),1488551,1.4886
2022,QLD (Queensland),1693595,1.6936
2023,QLD (Queensland),736943,0.7369
1931,SA (South Australia),22364,0.0224
1953,SA (South Australia),58136,0.0581
1954,SA (South Australia),125515,0.1255
1958,SA (South Australia),163081,0.1631
1959,SA (South Australia),79223,0.0792
1961,SA (South Australia),106632,0.1066
1965,SA (South Australia),21095,0.0211
1968,SA (South Australia),21526,0.0215
1970,SA (South Australia),36676,0.0367
1972,SA (South Australia),8186426,8.1864
1973,SA (South Australia),37511,0.0375
1977,SA (South Australia),1110362,1.1104
1978,SA (South Australia),229264,0.2293
1980,SA (South Australia),35314463,35.3145
1983,SA (South Australia),376050,0.376
1984,SA (South Australia),45379,0.0454
1985,SA (South Australia),8579509,8.5795
1986,SA (South Australia),53925,0.0539
1988,SA (South Australia),404616,0.4046
1989,SA (South Australia),115124,0.1151
1990,SA (South Australia),98833,0.0988
1991,SA (South Australia),816714,0.8167
1992,SA (South Australia),68679,0.0687
1995,SA (South Australia),97081,0.0971
1996,SA (South Australia),24273,0.0243
1998,SA (South Australia),85356,0.0854
1999,SA (South Australia),320300,0.3203
2000,SA (South Australia),484467,0.4845
2001,SA (South Australia),73638,0.0736
2002,SA (South Australia),3879047,3.879
2003,SA (South Australia),2642910,2.6429
2004,SA (South Australia),81744,0.0817
2005,SA (South Australia),190485,0.1905
2006,SA (South Australia),283702,0.2837
2007,SA (South Australia),541095,0.5411
2008,SA (South Australia),16731,0.0167
2010,SA (South Australia),22509,0.0225
2011,SA (South Australia),4609137,4.6091
2012,SA (South Australia),9601203,9.6012
2013,SA (South Australia),19704,0.0197
2014,SA (South Australia),3738980,3.739
2015,SA (South Australia),553711,0.5537
2016,SA (South Australia),15546,0.0155
2018,SA (South Australia),303635,0.3036
2019,SA (South Australia),1294325,1.2943
2020,SA (South Australia),33569,0.0336
2021,SA (South Australia),14147,0.0141
1967,TAS (Tasmania),198935,0.1989
1981,TAS (Tasmania),13531,0.0135
1982,TAS (Tasmania),89546,0.0895
1986,TAS (Tasmania),36740,0.0367
1987,TAS (Tasmania),23575,0.0236
1994,TAS (Tasmania),12358,0.0124
1995,TAS (Tasmania),10793,0.0108
2003,TAS (Tasmania),109598,0.1096
2006,TAS (Tasmania),86767,0.0868
2007,TAS (Tasmania),50922,0.0509
2008,TAS (Tasmania),13722,0.0137
2013,TAS (Tasmania),74112,0.0741
2016,TAS (Tasmania),139650,0.1396
2018,TAS (Tasmania),35062,0.0351
2019,TAS (Tasmania),163788,0.1638
1927,VIC (Victoria),21024,0.021
1932,VIC (Victoria),17431,0.0174
1939,VIC (Victoria),3338265,3.3383
1942,VIC (Victoria),38597,0.0386
1944,VIC (Victoria),11106,0.0111
1951,VIC (Victoria),26233,0.0262
1952,VIC (Victoria),243149,0.2431
1958,VIC (Victoria),520200,0.5202
1959,VIC (Victoria),55624,0.0556
1960,VIC (Victoria),36623,0.0366
